prompt_name,rouge1,rouge2,rougeL,bertscore_f1,avg_generated_length,avg_compression_ratio,bullet_format_rate,empty_generation_rate,n
tldr,0.31857586449344316,0.12570815675417235,0.2569320282494006,0.89943709731102,15.76,0.8447807083086465,0.0,0.0,50
bullet_points,0.3267610037672766,0.1385887230138759,0.2659426355960252,0.8989796876907349,16.64,0.9323161411131287,0.0,0.0,50
one_sentence,0.3305068049940967,0.13718932347892066,0.26877464670734436,0.8977687501907349,17.08,0.909562841473294,0.0,0.0,50
fact_constrained,0.3336256836607975,0.13090780817241054,0.26321395824280436,0.9026569330692291,16.24,0.8383822742351177,0.0,0.0,50
