prompt_name,genre,rouge1,rouge2,rougeL,bertscore_f1,generated_length_words,compression_ratio,bullet_format_rate,n
bullet_points_3_shot,business,0.30071628237450865,0.08701408120335839,0.24469628768296073,0.8995912498235703,17.81,0.86297939428762,0.0,100
bullet_points_3_shot,entertainment,0.3519699759925314,0.14070373113605308,0.2877932146782246,0.9037417298555375,16.02,0.8377116182214231,0.0,100
bullet_points_3_shot,politics,0.33890838701257514,0.1293910436968162,0.26854317029137026,0.9039910119771958,17.41,0.8344219948211788,0.0,100
bullet_points_3_shot,sport,0.3419100810527053,0.13549303028426568,0.2829867197131272,0.9015217614173889,17.61,0.9074433881884549,0.0,100
bullet_points_3_shot,tech,0.33965999813299097,0.1274219175307526,0.2753269840556506,0.9049801379442215,16.32,0.831309122104568,0.0,100
