prompt_name,rouge1,rouge2,rougeL,bertscore_f1,avg_generated_length,avg_compression_ratio,bullet_format_rate,empty_generation_rate,n
tldr,0.322600223952959,0.1257487893181765,0.257427595139257,0.8993370103836059,16.4,0.8999369973655442,0.0,0.0,50
bullet_points,0.3373348512289617,0.1386506565251152,0.2770217980020497,0.9023007607460022,16.16,0.9221113573535782,0.0,0.0,50
one_sentence,0.34007260644685255,0.14230555788348392,0.2750654457746898,0.9004236280918121,16.76,0.8923592116116627,0.0,0.0,50
fact_constrained,0.3459403026313251,0.13647487040424447,0.2759481174049219,0.9043752145767212,16.04,0.8376064721692548,0.0,0.0,50
bullet_points_strict,0.34149749413526886,0.13894232605174267,0.27420435244845087,0.9010823851823807,16.34,0.8848813711064387,0.0,0.0,100
