prompt_name,rouge1,rouge2,rougeL,bertscore_f1,avg_generated_length,avg_compression_ratio,bullet_format_rate,empty_generation_rate,n
tldr,0.22172269215165316,0.060944603649046275,0.18008810986003684,0.883810578584671,14.42,0.8019554665449897,0.0,0.0,50
bullet_points,0.26203940022542804,0.09127395258367671,0.21641837841591702,0.8913096189498901,15.52,0.8266360019778969,0.0,0.02,50
one_sentence,0.2662773582974145,0.09268491436673974,0.22938499396247355,0.8905532336235047,16.26,0.8806639347820446,0.0,0.0,50
fact_constrained,0.2564964266643854,0.08579532944544363,0.21177580297918175,0.8932429337501526,14.74,0.7821069614156102,0.0,0.0,50
