prompt_name,rouge1,rouge2,rougeL,bertscore_f1,avg_generated_length,avg_compression_ratio,bullet_format_rate,empty_generation_rate,n
tldr,0.32814425806086733,0.12255815002988932,0.26600132316270264,0.9019446812868118,16.644,0.8404624828261325,0.0,0.0,500
bullet_points,0.3310736436868074,0.1250554683392425,0.26846638486883156,0.9029009584188461,16.916,0.8579334835139768,0.0,0.0,500
one_sentence,0.3322347426279647,0.1245284943433358,0.2680371146066559,0.901945444226265,17.392,0.8804804581241358,0.0,0.0,500
fact_constrained,0.3358330031245184,0.1272352612928633,0.27001879426499265,0.9034753339290619,16.686,0.8376100121690655,0.0,0.0,500
bullet_points_strict,0.3367817758528273,0.12808975862733832,0.27310948413426517,0.9030154342651368,16.896,0.8474163894310422,0.0,0.0,1000
